AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,PostSchool,PostMajor,PostGPA,Other_Info
埃默里大学,硕士,Law,被拒,2015,2,98,,0,211,法学,81,,,,绩点平平，托福成绩在申请之前一直都没办法刷到100以上。在法院实习过两次，在律所当全职律师助理一年，有过小小的创业史。没有其他比较突出的成绩了。收到的录取里面，scholarship给得最高的是UIUC，一开始给了我2万，后来过了两天又给我补了1万。wustl没奖，然后其他ad小奖的多多少少都是1万以上，在此不透漏了。
埃默里大学,硕士,Epidemiology,被拒,2017,3,100,,319,211 & 985,生物科学,81,,,,实验室做过一年半的实验，一篇sci的二作但是申请的时候还没有发出来..一份比较好的推荐信但是不是相关专业的，不知道有多大作用。
埃默里大学,博士,Mathematics,被拒,2015,0,,,0,211 & 985,信息与计算科学,82,,,,无论文无牛推无陶瓷
埃默里大学,硕士,Law,被拒,2015,1,87,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,84,,,,参加过律所和法院的实习，没有论文，参加了很多学校社团活动，有校级奖学金。
埃默里大学,硕士,Epidemiology,被拒,2017,2,98,,320,双非,临床药学,84,,,,两段实习，一段医院一段CSC，一段研究经历，主要是在肿瘤医院对胃癌术后病人的流行病调查
埃默里大学,博士,Chemistry,被拒,2016,2,99,,325,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,求是科学班（化学）,84,,,,比较重要的就是去年暑假去瑞典Uppsala University交流了两个月，那里的老板超级好！很热情地写推荐信，还直接帮忙联系了好几个学校！去了趟瑞典真的不后悔，瑞典人民都超级友好，而且在这次申请里瑞典那边课题组的老板、同学全程帮我改SOP，模拟面试，真的很感谢他们。
埃默里大学,博士,Chemistry,被拒,2016,0,,,317,,生物和化学,84,,,,
埃默里大学,硕士,Biostatistics,被拒,2017,2,94,,313,211,统计学,84,,,,没有拿过奖，有过一些校园奖项和省市奖
埃默里大学,硕士,Biostatistics,被拒,2016,2,97,,318,211 & 985,预防医学,84,,,,
埃默里大学,硕士,Epidemiology,被拒,2015,2,95,,306,211 & 985,动物医学 金融（双学位）,84.3,,,,2年相关工作经历
埃默里大学,博士,Chemistry,被拒,2015,3,,7,319,国外高校（含港澳台）,化学,88,,,,
埃默里大学,博士,Chemistry,被拒,2015,3,101,,323,,应用化学,88,,,,
埃默里大学,博士,Chemistry,被拒,2015,3,101,,332,211 & 985,化学,92,,,,
埃默里大学,硕士,Computer Science,被拒,2017,2,93,,320,,,83.33,,,,
埃因霍芬理工大学,硕士,Sustainable Energy Technology,被拒,2015,3,,7,0,,材料科学与工程,84,,,,"还有奥胡斯大学正在under treatment，等不鸟了
本科一篇EI 水文accepted，实验室水经历2年，水了2个发明专利在审核。。总体来说都很水啦。。"
埃因霍芬理工大学,硕士,Embedded System,被拒,2015,2,,6.5,0,双非,测控技术与仪器,85.1,,,,无项目，参加过一个国家级比赛，还有一个超级水的论文- -，KTH炒鸡想去robotics，，，，只是，，╮(╯▽╰)╭
埃因霍芬理工大学,硕士,Operation Management and Logistics,被拒,2015,4,,7.5,0,211 & 985,,87,,,,
埃因霍芬理工大学,硕士,Bioengineering and Biomedical Engineering,被拒,2016,3,,7,318,,生物医学工程,90.59,,,,
埃因霍芬理工大学,硕士,Architecture,被拒,2015,2,,6.5,0,双非,建筑学,90.7,,,,无牛推，一封系主任，一封实习老板，有两次国家励志奖学金，清华参数化workshop经历一次，没有出国交流等经历（本科渣没地方交流），五年工学学士
爱丁堡大学,硕士,Artificial Intelligence,被拒,2017,2,,6.5,0,211 & 985,电子信息工程,80,,,,一次语音识别的校级大创，参加过学校组织的实习
爱丁堡大学,硕士,Finance,被拒,2017,3,,7,0,211 & 985,保险,81,,,,一年四大工作经验，国家级大创，银行保险公司实习
爱丁堡大学,硕士,Computer Science,被拒,2016,2,97,,0,211 & 985,软件工程,81,,,,俩实习，一个在学校机构一个在SAP，无奖学金无交换无论文
爱丁堡大学,硕士,Structural and Fire Safety Engineering,被拒,2017,0,,6,0,,土木工程（建筑工程）,81,,,,"本科院校双非网拍117.一年国家奖学金，三年优秀学生，班干部，几篇水文章，大学生创新实验项目，两个高质量实习，和教授共同翻译专业书籍。
由于gpa和语言太低，申请了港大港科希望几乎渺茫，最后去了土木工程全球排名靠前的理大，如果英国学校需要读语言班，祝申请的同学都拿到满意的offer.加油！"
爱丁堡大学,硕士,Entrepreneurship,被拒,2017,4,,7.5,0,211 & 985,法语,82,,,,拿过两次学校奖学金，世界五百强翻译实习经历，全国性英语比赛特等奖，全国法语歌曲大赛总决赛
爱丁堡大学,硕士,Business Administration and Management,被拒,2016,3,,7,0,211,行政管理,82,,,,8个月左右全职工作，地产人力资源相关。
爱丁堡大学,硕士,Communication and Signal Processing,被拒,2016,0,,6,0,双非,自动化,82.5,,,,有专业相关实习经验和省级比赛证书，找的正副院长写的推荐信。
爱丁堡大学,硕士,Design and Digital Media,被拒,2017,2,,6.5,0,211 & 985,汉语言文学,83,,,,
爱丁堡大学,硕士,Architecture,被拒,2015,2,,6.5,0,211 & 985,建筑,83,,,,发表论文一篇，推荐信学校老师写的。
爱丁堡大学,硕士,Computational Mathematical Finance,被拒,2017,0,,6,0,211 & 985,微电子科学与工程,83.03,,,,大创国家级，两个校奖学金，美赛成功参赛，电子设计校一等奖，挑战杯省赛银奖，水实习一个
爱丁堡大学,硕士,"Linguistics, Interpretation and Translation",被拒,2017,2,,6.5,0,双非,汉语言文学,84,,,,一个校奖
爱丁堡大学,硕士,Accounting and Finance,被拒,2015,2,,6.5,0,211,会计,84,,,,
爱丁堡大学,硕士,Banking and Finance,被拒,2015,3,,7,0,,会计,84,,,,
爱丁堡大学,硕士,Architecture and Urban Design,被拒,2015,2,,6.5,0,双非,建筑学,84,211 & 985,建筑学,80,
爱丁堡大学,硕士,Architectural and Urban Design,被拒,2017,4,,7.5,327,211 & 985,建筑学,84,,,,普通人......一次实习、一次大创、一次没得奖的竞赛...
爱丁堡大学,硕士,Business Analytics,被拒,2017,2,,6.5,0,211,市场营销,84,,,,"两段实习，一段是burberry marketing intern 还有一个是李奥贝纳的可口可乐组的media planning intern
准备了三份推荐信，一位教授的，一位副教授的还有是李奥贝纳实习时候的director的
在校时候当了一年的班长，也跟过两个校级创新项目
大三暑假时在ucsd summer school 上了business english b+的成绩单（不推荐，我觉得没有什么用，因为教课的老师不是ucsd本来的教授，还是比较建议交换的，我是因为准备的太晚了来不及交换了QAQ）"
爱丁堡大学,硕士,Computer Science,被拒,2017,3,,7,0,双非,通信工程,84,,,,无论文，水项目，500强外企实习
爱丁堡大学,硕士,Design and Digital Media,被拒,2017,3,101,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,中文,84,,,,纸媒实习，奢侈品公关实习，digital media创业公司实习。
爱丁堡大学,硕士,Carbon Finance,被拒,2017,2,,6.5,0,211 & 985,金融学,84.89,,,,"1篇论文，2次三等奖学金，大创国家级立项、优秀结题、水实习1个
其他方面有多个志愿者活动，校青志协干部、校团委干事（我感觉这些在申请里没什么太大的作用啊）"
爱丁堡大学,硕士,Finance,被拒,2017,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85,,,,
爱丁堡大学,硕士,Accounting and Finance,被拒,2017,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85,,,,四个实习，校级科研，商赛，社团等等
爱丁堡大学,硕士,Marketing,被拒,2017,3,,7,0,211,商务英语,85,,,,
爱丁堡大学,硕士,Finance,被拒,2017,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85.2,,,,
爱丁堡大学,硕士,Management,被拒,2017,2,,6.5,0,211 & 985,药学,85.5,,,,一个省级的大创项目（药学方面），两个比较水的相关实习，几个校奖，校级机构副主席，两年三好学生
爱丁堡大学,硕士,Management,被拒,2017,3,,7,0,211 & 985,工程管理,85.7,,,,
爱丁堡大学,硕士,Teaching English to Speakers of Other Languages,被拒,2017,3,103,,0,双非,公共事业管理,85.7,,,,政府奖学金 两次校一等奖学金 一次二等奖学金 一个水校课题（不是负责人） 若干文体竞赛 担任班级干部 三次实习，分别是1个疾控，2个英语教育（这两个是我明确要转专业以后才去找的）
爱丁堡大学,硕士,Artificial Intelligence,被拒,2017,4,,7.5,0,211 & 985,电子科学与技术,86,,,,一些校级科研项目和个人项目，无实习，无论文
爱丁堡大学,硕士,Accounting and Finance,被拒,2016,4,,7.5,0,211,会计,86,,,,
爱丁堡大学,硕士,Architecture,被拒,2015,0,,,0,国外高校（含港澳台）,建筑学,86,,,,"目前英国利物浦大学建筑系本科在读Final year.

本科是西交利物浦大学建筑系2+2到英国利物浦大学，拿的是英国本科文凭 BA of Architecture 并且还有RIBA PartI，拿到的都是conditional offer，巴斯要求雅思7.0， 其他的也都是要求我能拿到60分以上（upper second class）顺利毕业就好了（UCL 只要了50分 lower second class）。

自学了平面设计的一些理论和软件，有平面设计的工作经验（杂志美编，公司品牌宣传 名片设计等等）纯属本人对设计类相关专业的爱好啦。

目前为止还没有考过雅思。"
爱丁堡大学,硕士,Applied Linguistics,被拒,2015,4,,7.5,0,211,英语语言文学,86,,,,帮老师做北京市项目一个，副校长推荐信一封，两篇国内学术论坛论文，英语教育科技公司实习三个月，大学生创业中心兼职一年半，校三等奖学金一次，CATTI二级口译证书
爱丁堡大学,硕士,Design and Digital Media,被拒,2017,0,,,0,211 & 985,传媒管理,86.4,,,,一个NGO实习，一个国创，几个学术研究，两个志愿者经历
爱丁堡大学,硕士,Finance and Investment,被拒,2015,2,,6.5,0,211 & 985,金融学,87,,,,无论文无牛推，只有些水水的奖学金，两份水实习。
爱丁堡大学,硕士,Design and Digital Media,被拒,2017,0,,,0,211 & 985,新闻学,87.2,,,,人民日报和新浪两个实习，校报总编三年，一些小奖，剑桥Summer school， 还有一些没用的比赛什么的
爱丁堡大学,硕士,Environmental Sustainability,被拒,2016,2,,6.5,0,211 & 985,环境科学,87.4,,,,
爱丁堡大学,硕士,Microbiology,被拒,2015,2,,6.5,0,211,水族科学与技术,90,,,,
爱丁堡大学,硕士,Architecture,被拒,2015,2,,6.5,0,双非,建筑学,90.7,,,,无牛推，一封系主任，一封实习老板，有两次国家励志奖学金，清华参数化workshop经历一次，没有出国交流等经历（本科渣没地方交流），五年工学学士
爱丁堡大学,硕士,Comparative Literature,被拒,2016,4,,8,0,211 & 985,英语／教育双学位,91.3,,,,
爱丁堡大学,硕士,Architecture,被拒,2017,1,,5.5,0,211,建筑学,85.29,,,,一共申请澳洲4所，英国3所。目前拿到4个结果。澳洲的墨尔本大学和英国的谢菲尔德与爱丁堡大学还没有任何消息。
爱丁堡大学,硕士,Law,被拒,2015,1,84,,0,双非,社会学,85.15,,,,
爱荷华大学,硕士,English as a Second Language,被拒,2016,2,98,7.5,305,,商务英语,76.9,,,,低三围，本来都绝望了，结果竟然来了录取了，真的很想哭，Gap一年经历了太多了，也付出了太多了，我2月29application才完整的。真的感谢寄托天下的资料，很感激
爱荷华大学,硕士,Foreign Language Education,被拒,2016,2,98,,305,,商务英语,77,,,,"被拒理由：program不match,GPA太低不合要求…还有7个学校…心里特别悲伤"
爱荷华大学,博士,Geoscience,被拒,2016,3,106,,315,211,测绘工程,81,,,,一篇一作国家核心论文，但申请时并没有拿到录用，只是写成了研究经历。
爱荷华大学,博士,Film Studies,被拒,2016,2,98,,317,双非,自动化,81,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,艺术学,84,三年工作经验，无牛推，小论文发一篇，外加硕士论文
爱荷华大学,硕士,Educational Research,被拒,2016,2,95,,315,双非,师范类,84,,,,
爱荷华大学,博士,Zoology and Entomology,被拒,2015,1,87,,308,211 & 985,生物学,86,211 & 985,生物学,81,"SCI 四篇 一个Nature子刊8作
无一作论文，均为挂名
获得国家奖学金一次
各种水奖一堆
本科有出国交流过
本科保研，研究生水水的过"
爱荷华大学,博士,Psychology,被拒,2016,3,100,7.5,320,211,心理学,88,,,,
爱荷华大学,博士,East Asian Languages and Literatures,被拒,2015,3,102,7.5,0,双非,英语,82.5,211 & 985,对外汉语,,研究报告有认真改了很多次，有一年海外的经历，其他似乎没什么太多的亮点了。
爱荷华大学,博士,Second Language Acquisition,被拒,2016,0,,,329,211,,84.5,,,,
爱荷华州立大学,博士,"Molecular, Cellular and Developmental Biology",被拒,2015,2,90,,315,211,生物技术,79.92,,,,实验室两年经历，从事基因功能研究，目前有两个基因家族的克隆，表达还在做（当时写PS的时候表达的进展还不是很顺利），没文章，因为东西没做完。
爱荷华州立大学,硕士,Industrial Engineering,被拒,2016,2,91,,313,211,交通运输,83,,,,
爱荷华州立大学,博士,Chemistry,被拒,2016,3,103,,321,,化学,84,,,,一篇挂名二作
爱荷华州立大学,博士,Chemical Engineering,被拒,2015,0,,,318,211,化学工程与工艺,84,,chemical engineering,88,无套磁，无Paper
爱荷华州立大学,博士,Chemistry,被拒,2017,3,103,,320,,轻化工程,84,,纺织化学,87.61,一篇英文会议，中文核心若干，一篇中文专利，无海外学习或交流经验
爱荷华州立大学,博士,Chemistry,被拒,2016,3,104,,320,211,药物制剂,84,,,,有两段科研，分别是细胞生物和化学，无paper。实验室老师和任课老师写的RL。
爱荷华州立大学,博士,Chemistry,被拒,2015,3,101,,314,,药学,84,,,,2篇水一作，国内核心期刊。若干实习经历。
爱荷华州立大学,博士,Chemical Engineering,被拒,2016,3,105,,320,211 & 985,化学工程与工艺,87.42,,,,"三篇SCI挂名,一篇5作(2个通讯），两篇6作（一篇2个通讯，另一篇1个通讯）---这样写是因为不知道通讯作者算不算作者的排名里= =
负责一个国家级大学生创新项目，前后在实验室待了一年；现在到国内top2做毕设的经历也写在简历里了。"
爱荷华州立大学,博士,Chemistry,被拒,2015,3,101,,323,,应用化学,88,,,,
爱荷华州立大学,博士,Chemical Engineering,被拒,2016,3,103,,320,211 & 985,化学工程与工艺,92.92,,,,一篇SCI三作，两篇SCI水作
爱荷华州立大学,硕士,Civil Engineering,被拒,2016,2,93,,324,,,85,,,,
奥本大学,硕士,Electrical and Electronics Engineering,被拒,2016,1,89,,307,211,电子信息工程,82,,,,
奥本大学,硕士,Industrial and Product Design,被拒,2017,2,95,,0,211 & 985,工业设计,84,,,,
奥尔堡大学,硕士,Culture Communication & Globalization,被拒,2016,2,,6.5,0,双非,新闻学,88,,,,大四在读，无论文无学术成果，只有三个实习分别是电视台网站和报社，在南方都市报实习的时候发表了很多作品。半年台湾交换经历。
奥胡斯大学,硕士,Geophysics,被拒,2015,2,91,,0,211 & 985,地球物理学,76.98,211 & 985,地球物理学,75,
奥胡斯大学,硕士,Architecture,被拒,2015,3,,7,0,,建築,81,,,,工作兩年
奥胡斯大学,硕士,Visual Anthropology,被拒,2015,2,,6.5,0,双非,新闻学,84,,,,"两个理由都一样，影视类的课程学分不足；人类学的学分不足。

郁闷的是，大学学过电视编辑与摄影，也出过一些作品，还是被认为不足；至于人类学不是综合性学科吗，新闻学课程当中社会学、心理学难道也不算？剩下一个奥胡思人类学还没出来，估计凶多吉少了。

嗯哼，算了。这样一来，我终于不会被选择困难症绑架了~哈哈哈"
奥胡斯大学,硕士,Economic and Management,被拒,2016,3,,7,322,211 & 985,金融学,84.5,,,,两个商业银行实习（网点&国际业务），水水的社团工作&志愿活动&科研经历各一，无牛推无文章
奥胡斯大学,博士,Economics and Econometrics,被拒,2016,4,,7.5,320,211 & 985,国贸,85,,Finance and Business Economics,,推荐信一封来自硕士论文导师，一封上课老师，一封本科论文导师。一段RA经历。弱背景，求轻拍
奥胡斯大学,硕士,Computer Science,被拒,2015,4,,7.5,0,211 & 985,计算机科学与技术,87.6,,,,没paper，没牛腿，没项目，各种没的三无产品
奥克兰大学,硕士,Chemical Engineering,被拒,2016,3,,7,0,211 & 985,化学工程,84,,,,无论文，有的工作经验不是专业有关的
奥卢大学,硕士,Education,被拒,2016,2,,6.5,0,双非,师范英语,92,,,,"师范英语专业 瑞典交换一年 校奖很多 省重点高中优秀实习生 金鸡百花电影节志愿者外宾接待
有系主任和瑞典实习导师的推荐信
全国高师学生英语教师技能大赛二级一等奖...
我觉得最关键是在瑞典交换过一年吧 才低空飘过录取线~~~"
澳大利亚国立大学,硕士,Energy Change,被拒,2016,1,82,6.5,0,211 & 985,化学,77,,,,"澳洲spring入学是指7月 anu实际是申的2017 semester1 
有挂名的一篇paper，但是uq没上传cv也录了，应该影响不大"
澳门大学,硕士,Chinese Language and Literature,被拒,2015,0,,6,0,双非,传播学,85.5,,,,"八个月报社实习经历
四年志愿者经历"
澳门大学,硕士,Electrical and Computer Engineering,被拒,2016,0,,,0,双非,电子信息工程,93,,,,现在澳大ece申请非双特别难 今年被电子科技大学跟西安电子科技大学承包了，而且澳大跟电子科技大学签约保送协议。非双不是特别牛以后基本没戏 而且貌似从下一年开始 不承认六级要雅思或者托福了
巴黎高等商学院,硕士,Management,被拒,2016,3,,7,319,211,,80.69,,,,
巴黎高等商学院,硕士,Business Administration and Management,被拒,2015,0,,,0,211 & 985,经济学,89,,,,CCER经双，参加过一个大型的调研，公派美国交换过一个学期，受邀请去美国开过一周的有关医学与养老的健康会议。美赛二等奖，无论文，有一个财经的实习和银行总行的实习。总共要了五封推荐信，自己学校的导师一封，CCER两封，美国交换的老师两封。老师对我应该都比较了解，姑且认为是强推把。。。
巴黎高等商学院,博士,Accounting,被拒,2017,3,,7,0,211 & 985,财务管理,89.43,211 & 985,公司金融,89.36,"2篇3作SSCI，国奖，比赛国家级奖励多项,PolyU的RA经历，GMAT720"
巴黎经济学院,硕士,PPD,被拒,2016,3,,7,319,211,,80.69,,,,
巴黎经济学院,硕士,Economics,被拒,2015,3,,7,324,211 & 985,经济学院,90,,,,"4段助研：2段行为与实验经济学+2段发展经济学/           
2段实习：政府+银行/               
3篇水文：水杂志一篇；seminar一篇；参加某论文比赛一篇"
巴黎政治大学,硕士,International Development,被拒,2016,4,,7.5,0,211 & 985,旅游管理与规划,88,,,,曾在SciencesPo交换半年，香港大学+剑桥summer programme，NGO实习，coursera课程翻译员
巴塞罗那经济学院,硕士,Economics and Econometrics,被拒,2015,2,99,,0,211 & 985,经济学,85.8,,,,背景以前有发。。。
巴塞罗那经济学院,硕士,Economics and Econometrics,被拒,2015,4,110,,327,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济,88,,,,"推荐人都是本科老师，一个数学，两个经济学
奖学金只拿过校奖"
巴斯大学,硕士,Business Analytics,被拒,2017,3,,7,0,211,电子商务,82,,,,
巴斯大学,硕士,Human Computer Interaction,被拒,2016,2,,6.5,0,211 & 985,光信息科学与技术,84,,,,"无论文，无牛推。不过有理工科可能比较少的一个比较对口的实习，然后有两个学校的水项目，其中一个发了国内的水专利，有一个和物理教学有关的志愿者经历。一个学校的单项奖学金（对，就是那种三等奖以下的安慰奖）。所以基本上没什么加分项。
辅修公共关系学，以为能帮助申一下人机交互，结果并没什么用。"
巴斯大学,硕士,Marketing,被拒,2016,3,,7,0,211,广告学,84,,,,
巴斯大学,硕士,Accounting,被拒,2015,2,,6.5,0,211,会计,84,国外高校（含港澳台）,会计与金融,,无
巴斯大学,硕士,Marketing,被拒,2016,2,,6.5,0,211,土木工程,85,211 & 985,结构工程,81,本专业工作两年，转专业500强水实习
巴斯大学,硕士,Modern Building Design,被拒,2015,2,,6.5,0,211,城市规划,85.07,,,,国家奖学金/国家级竞赛二等奖/学校内五年奖学金/矶崎新工作室推荐信/无论文发表
巴斯大学,硕士,Accounting and Finance,被拒,2016,4,,7.5,0,211,会计,86,,,,
巴斯大学,硕士,International Studies,被拒,2015,3,,7,0,211,英语,86,,,,参加北京市各校模拟联合国经验 以及学生会等学生社团 实习经验教育学有
巴斯大学,硕士,Management,被拒,2016,4,,7.5,0,211,日语,87,,,,"水实习两个，水项目两个。
bath先申了management，被拒，调剂到entrepreneurship & management"
巴斯大学,硕士,Politics and International Relations,被拒,2015,3,,7,0,211,英语,87,,,,
巴斯大学,硕士,Accounting and Finance,被拒,2017,2,,6.5,0,双非,Mathematics and financial engineering,88,,,,"每年都有奖学金
有个数学建模没啥卵用的奖
BIGNET 250+"
巴斯大学,硕士,"Linguistics, Interpretation and Translation",被拒,2017,4,,7.5,0,双非,英语翻译,88,,,,参加了去年威敏的傅冰老师来北京面试后来就收到了offer，威敏的offer还是来得很容易的吧，雅思一直考不过所以巴斯大人就把我拒了。肥肠肥肠纠结要不要去威敏，因为不去的话就要gap，但是对威敏这个学校的了解除了它的口译貌似拿得出手之外真的了解不多，求同道中人指点，求同收到offer的小伙伴们勾搭！！
巴斯大学,硕士,Interpretating and Translating,被拒,2015,4,,8,329,211 & 985,英语,84,,,,"wes 3.79
应该不算有牛推吧"
柏林洪堡大学,硕士,Economics and Management,被拒,2016,2,,6.5,313,双非,,81,,,,"三等奖学金
某资本运营公司的Internship"
北卡罗来纳大学教堂山分校,硕士,Non-Profit and Public Management,被拒,2016,3,101,,320,清华/北大/中科大,医药类（非临床）,77,清华/北大/中科大,生理学,84,无论文无牛推无奖，杂七杂八的社会活动一大堆，但都没长性，四段实习但有关的只有2个
北卡罗来纳大学教堂山分校,硕士,Mass Communication,被拒,2015,4,110,,320,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,中文,81,,,,"实习 SMG, CNBC Asia
三篇writing samples
一份photo portfolio 
无牛推。"
北卡罗来纳大学教堂山分校,硕士,Geography,被拒,2016,0,,,0,,地理学,84,,,,
