AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,Post_School,Post_Major,Post_GPA,Other_Info
新加坡国立大学,硕士,Law,录取,2015,3,,7.0,0,双非,民商法,84.0,,,,最终选择是MSSc SW
香港理工大学,硕士,Environmental Engineering,录取,2016,2,,6.5,0,双非,食品质量与安全,91.0,,,,
香港大学,硕士,Teaching English to Speakers of Other Languages,录取,2016,3,,7.0,0,211 & 985,英语,85.7,,,,本科阶段英语老师实习若干，英语教学比赛一等奖，本科生科研基金被评为校级优秀项目，有教师资格证书，一年英语教育研究所助教经验，一年教育机构英语老师经验
杜克大学,博士,Cell and Molecular Biology,录取,2015,0,,,331,,Life Sciences,93.0,,,,无论文
香港科技大学,硕士,Engineering Enterprise Management,录取,2015,3,,7.0,0,,交通运输,83.0,,,,"水实习一个（就是拉人去做兼职那种，还没有实习证明）
国内车企短期实习一个（真的很短，不足20天，但是有证明，还给颁奖、发奖金）
短期志愿活动一个（只做了3天）
就得过两次3等人民奖学金
英语方面还过了BEC高级
14年10月中旬才开始在一家500强做供应链相关的实习"
谢菲尔德大学,硕士,"Linguistics, Interpretation and Translation",录取,2015,3,,7.0,0,211 & 985,英语,86.07,,,,无出版，无牛退，就一年英文教师工作经历，做过实习口译。。。
威斯康星大学,博士,Zoology,录取,2015,4,114.0,,334,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物技术,78.0,,Bioinformatics,84,"Five papers (four SCI, total impact factor ~65), 
four first-authored papers (three SCI, total impact factor ~33), 
Two more first-authored manuscripts in submission/preparation.

Ten awards/scholarships (mostly university-level).

One (very strong) recommendation letter from my mentor (a Chinese Academy of Sciences member)."
香港浸会大学,硕士,Chinese Medicine,录取,2015,0,,6.0,0,双非,中医学,81.0,,,,"5次校级奖学金，优秀学生干部，三好学生，社会实践优秀先进个人
系学生会主席，参加多次校内活动
3段医院实习经历
日语N2学习经历
一项中医药方面的研究经历（未发文）
无论文课题等"
圣塔克拉拉大学,硕士,Intellectual Property Law,录取,2015,0,,,0,211 & 985,电子工程,85.0,211 & 985,电子工程,84,在北京一家IP Firm做Computer方面的patent，5年工作经验。
伦敦政治经济学院,硕士,Regional and Urban Planning Studies,录取,2017,0,,,0,双非,城市规划与设计,84.0,,,,
波士顿大学,硕士,Economics,录取,2015,2,91.0,,319,国外高校（含港澳台）,应用经济学,85.0,,,,
香港城市大学,硕士,Economics and Econometrics,录取,2015,1,89.0,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,84.0,,,,"录取的专业是应用经济学，不过选项里好像没有= =
跟老师做项目，一些比赛获奖，水实习，无论文，曾获小奖学金。"
华威大学,硕士,Business,录取,2017,4,,7.5,317,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,新闻,84.0,,,,
雷丁大学,硕士,Investment Management,录取,2017,0,,6.0,0,双非,金融学,84.0,,,,
威斯康星大学,博士,Economics and Econometrics,录取,2015,3,102.0,,328,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,Mathematical Economics,84.0,,,,一学期RA，writing sample就是期间写的；一学期TA；推荐信分别是系主任、RA导师（海龟）和任课老师（HK）
香港中文大学,博士,Physics,录取,2016,1,85.0,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,92.0,,,,
香港中文大学,硕士,Tourism and Travel Services Management,录取,2015,2,,6.5,0,211,财务会计,88.0,,,,
温莎大学,硕士,Computer Science,录取,2014,2,97.0,,319,双非,软件工程,84.0,,,,无论文，水竞赛，水实习，水实验室，基本可以忽略
香港浸会大学,硕士,Business Management,录取,2016,2,,6.5,0,双非,金融学,83.0,,商务管理,,
香港浸会大学,硕士,"Film, Television and New Media",录取,2016,3,,7.0,0,211,广播电视编导（文艺编导方向）,86.0,,,,三年奖学金，学校内各种实践活动，三个电视台实习（不过只有一个有实习证明），学校青协主席，很多志愿活动包括apec志愿者等等..还有一些无关紧要的奖
圭尔夫大学,硕士,Tourism and Hospitality,录取,2016,4,,7.5,0,双非,国际旅游与会展管理,84.0,,,,小奖，13200加元，两年TA和入学奖
香港理工大学,硕士,Teaching Chinese as a Foreign Language,录取,2016,2,,6.5,0,211,英语,81.0,211,3.3,,发表论文两篇，比较水。
香港理工大学,硕士,Translation,录取,2017,3,,7.0,0,双非,英语,81.0,,,,
香港中文大学,硕士,Management of Real Estate and Hospitality Assets,录取,2014,0,,,0,双非,会计,81.0,,,,两个逗逼的小实习~
谢菲尔德大学,硕士,Food Science,录取,2016,2,,6.5,0,双非,,85.01,,,,
南洋理工大学,博士,Electrical Engineering,录取,2013,0,,,316,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,电气工程,85.0,,,,毫无科研的感觉啊，有个NUS实习貌似没多大用。NUS到如今都没给我消息，NTU终于发了offer，NGS果断被拒。是不是坡国今年招人少了。。
莱斯大学,硕士,Chemical Engineering,录取,2015,2,97.0,,317,211 & 985,化学工程,90.4,,,,
南洋理工大学,博士,Computer Science and Computer Engineering,录取,2014,0,,,0,双非,信息与计算科学,84.0,,,,"EI会议论文一作
两篇省级刊物 一作，二作
美国数学建模 M 奖
电工杯数学建模 3等奖
新加坡NEGG ANN 交换经历
奖学金之类滴
社会实践 支教等经历"
德克萨斯农工大学,博士,Chemistry,录取,2016,3,101.0,7.5,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,90.0,,,,三段研究，其中两段是和昆士兰大学教授做的。第一段研究是跟班，第二段研究是主力，第三段研究是独立负责。尚无文章。有参加许多校内活动和数学建模，但没什么拿得出手的奖项。澳洲昆士兰大学交换一学期，新加坡南阳理工大学上了一周多的暑期课程，香港科技大学的夏令营打了个酱油。专业是化学，但学了不少数学和生化的课程，也希望PhD期间能做基因或蛋白方面的研究。
多伦多大学,硕士,Landscape Architecture,录取,2015,3,,7.0,0,211 & 985,环境艺术设计,84.0,,,,有在EDSA实习的经历，成功混得一封推荐信，作品集一般，仅此而已
康奈尔大学,硕士,Architecture,录取,2015,3,101.0,,315,双非,建筑,84.0,,建筑,,
香港中文大学,硕士,Computer-Aided Translation,录取,2014,3,100.0,,0,双非,Law/English,90.0,,,,无牛推，分别是语言学教授和工作学校校长；两篇paper（法学的），其中一篇是核心；国家级的竞赛奖两个，校优秀毕业生，校奖学金两个，志愿者经历两个.....
南洋理工大学,博士,Electrical and Electronics Engineering,录取,2015,3,104.0,,320,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,光信息科学与技术,87.0,,,,一篇一作SCI
香港浸会大学,硕士,Information Technology,录取,2017,0,,,0,211 & 985,计算机科学与技术,82.0,,,,
杜克大学,硕士,East Asian Studies,录取,2016,0,,,321,国外高校（含港澳台）,亚洲与国际研究,84.0,,,,
南洋理工大学,硕士,Precision Engineering,录取,2015,0,,6.0,0,211 & 985,机械工程,82.0,,,,可能两年多的工作经验，弥补了雅思、GPA的不足
香港大学,硕士,Landscape Architecture,录取,2017,4,114.0,,328,国外高校（含港澳台）,艺术史 (Art History),84.0,,,,基本都没有，除了交换去学了视觉艺术，最后一年Dean's List，合作带队去尼泊尔做service trip
香港城市大学,硕士,"Linguistics, Interpretation and Translation",录取,2017,4,,7.5,0,211,工商管理,84.32,,,,无翻译经验，但本科有好多奖，去过上外口笔译培训班，考研上外两次
汉堡工业大学,博士,Mass Spectrometry,录取,2015,3,,7.0,0,,动物检疫,82.0,,预防兽医学,85.5,在国内没有拿过英文文章也没有拿过国内奖学金
新加坡国立大学,硕士,Applied Economics,录取,2015,2,,6.5,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物科学双修金融学·,85.5,,,,参加过上海交大高级金融学院的两次全国性会议，每年的校级奖学金，学生会主席，三个银行类实习，在拿到双学士学位后申请出国。
纽约州立大学宾汉姆顿分校,博士,Chemistry,录取,2014,3,104.0,,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,88.0,,,,"学院老师的推荐信，有院长、杰青和自己老板的（ECS和ISE的会士），跟我们系其他人的推荐老师都差不多吧。
2年实验室经历，一篇二作的准备发到二区的论文写作中（最后决定accept offer前应该都不会发表出来了= =）
奖学金从国奖到不少杂七杂八的其他类型奖学金,竞赛从国家级的到校级的大大小小一堆"
乔治华盛顿大学,硕士,Law,录取,2015,3,103.0,,0,双非,国际经济法,88.0,,,,"海外实习，海外志愿者，海外交流各一；
法援；&各种“其他”活动
实习的节奏保持在一学年一样，从群众出发到群众去= =
没有论文发表


推荐信我找某专业课老师写的，然后看他给我的title才知道老爷子已经贵为某学院副院长啦~感觉捡了个便宜。。。还有一个实习律所的大par par （找他的时候心脏感觉都停顿了。。。）

最后，我们是共产主义接班人~~~~~~~~~~~~~~"
香港理工大学,硕士,Chinese Culture,录取,2017,0,,6.0,0,双非,录音艺术,90.0,,,,低分雅思，双非学校，全靠高GPA，优秀作品，优秀论文，省级和校级优秀毕业生，一个创新基金课题申报者，暑期实践组织人。一个省级电视台实习，一个院线电影实习，还有市级报社，教育局，市级台实习。一篇大众文艺发表论文。
德克萨斯大学奥斯汀分校,博士,Curriculum and Instruction,录取,2015,2,99.0,,320,211,经济学,81.0,211,economics,84,两篇一作，一篇sci在投。算是还可以的牛实习。
马斯特里赫特大学,硕士,Financial Economics,录取,2016,2,,6.5,0,双非,财务管理&金融学 双学位,81.0,,,,台湾交换半年 四大行实习 券商实习 校奖学金 创新创业省立项 两次商赛经历
香港中文大学,硕士,Social Work,录取,2016,2,,6.5,0,双非,社会工作,84.0,,,,
香港理工大学,硕士,Construction and Real Estate,录取,2016,2,,6.5,0,双非,工程造价,77.89,,,,211大学，成绩中下，托关系拿的优秀毕业生；国企近两年工作经验。
香港科技大学,硕士,Economics and Econometrics,录取,2015,4,,8.0,0,211,会计,89.0,,,,无论文无竞赛，奖学金两次，两个实习……求择校~
约克大学(英国),硕士,Teaching English as a Second Language,录取,2016,2,,6.5,0,双非,对外汉语,80.68,,,,"某东方和xx雅思的实习两份，都是雅思助教时间为一个多月
某汉语机构的实习当老师是一个多月
然后演讲比赛什么的大大小小的奖项
社团和学生会工作有一点。。。"
哥伦比亚大学,硕士,Other,录取,2013,0,,,311,国外高校（含港澳台）,化学,84.0,,,,
曼彻斯特大学,硕士,Finance,录取,2014,0,,,0,双非,应用数学,86.0,,,,
伦敦大学国王学院,硕士,Digital Culture and Society,录取,2016,3,,7.0,0,211,英语,85.0,,,,
亚利桑那州立大学,硕士,Computer Science,录取,2016,3,108.0,,323,211,软件工程,84.0,,,,
曼彻斯特大学,硕士,Civil Engineering & Urban Planning & industrial design,录取,2013,0,,,0,双非,房地产经营管理,84.0,,,,"中南财经政法大学，房地产经营管理专业(- = 工程管理与金融的结合体 这也叫专业？)

雅思 7.5/ 8.5/ 5.5/ 6.0 两年奖学金，深圳大运会优秀志愿者，全国大学生英语竞赛二等奖，学校学术论文竞赛二等奖，水学生会，水实习

DIY申请 无论文 无牛腿"
南洋理工大学,硕士,Computer Graphics,录取,2014,0,,,312,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,Software Engineering,84.0,,,,SCB软件开发实习生，美国交流经历，小奖学金，校级比赛，北京马拉松之类的。
麦吉尔大学,硕士,Epidemiology,录取,2017,3,105.0,,331,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,公共卫生,88.0,,,,两个实习，一些科研，没有文章
西北大学,硕士,Law,录取,2015,3,109.0,,0,双非,法学,84.0,,,,一年半多近两年律师事务所工作经验
香港中文大学,硕士,Social Policy,录取,2015,3,,7.0,0,,国际政治,88.0,,,,"无paper,四个实习：广东省外事办的国际会议项目，市检察院，高校外事办和一个国企的，都比较水哈。。。一些奖学金和一堆无关紧要的证书"
华盛顿大学,本科,Economics and Econometrics,录取,2015,2,94.0,,0,,,86.6,,,,
伊利诺伊大学厄巴纳-香槟分校,博士,Chemical Engineering,录取,2015,2,97.0,,318,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,92.0,,,,"无牛推，无paper。
一大堆奖学金之类的东西。"
纽约大学,硕士,Biology and Biological Science,录取,2015,2,95.0,,318,211,生物医学工程（生物技术与生物信息技术）,88.0,,,,参与两个实验项目，两个校级奖学金，以第三作者发表一篇paper，校外在雀巢实习三个月
香港浸会大学,硕士,Information Technology,录取,2015,0,,6.0,0,双非,微电子,84.0,,,,
香港城市大学,硕士,Development Studies,录取,2016,2,,6.5,0,双非,金融,84.0,,,,
滑铁卢大学,硕士,Economics,录取,2015,0,,,0,,经济学,80.0,,,,本科在加拿大读的
香港城市大学,硕士,English Studies,录取,2015,3,,7.0,0,双非,英语,86.5,,,,有两个小论文，每个学期有三等奖学金（囧），做过志愿者，有工作经验。
香港大学,博士,Medicine,录取,2017,1,89.0,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,临床医学,88.0,,,,"论文：只有一篇挂名的sci
推荐信就是本科实验室boss给的，还有一封是班主任的
社会活动丰富
奖学金：也就学校三奖，还有些什么杂七杂八的外设奖学金。"
杜克大学,硕士,Economics and Econometrics,录取,2017,4,110.0,,335,211 & 985,经济学,88.0,,,,"杜克太贵了，怕是读不起。
申请的时候太胆小，好多好学校都没申请，感觉比较失败"
曼彻斯特大学,硕士,Human Resource Development,录取,2015,2,,6.5,0,211,会计,78.0,,,,
新加坡国立大学,硕士,Environmental Engineering,录取,2016,3,,7.0,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,83.0,,,,水实验，基本可忽略。。
卡内基梅隆大学,硕士,Computer Software Engineering,录取,2015,4,110.0,,328,211 & 985,微电子,84.0,,,,有短期Social Service经历，一年半实习和工作经验，一年Dean's List
香港理工大学,硕士,Civil Engineering,录取,2016,2,,6.5,0,双非,工程造价,77.89,,,,211大学，成绩中下，托关系拿的优秀毕业生；国企近两年工作经验。
乔治华盛顿大学,硕士,Intellectual Property Law,录取,2015,3,107.0,,0,,法学,90.0,,,,LSAC评级AA（某理工大学），国奖两年，台湾某天主教大学交换一学期评级S，UCLA summer session；2014年过司考（卷三88...），A证，实习一个是基层法院，一个是某500强外企法务；校级科研项目两个，发表水论文一篇，辩论赛模拟法庭志愿者法援普法等，社团是校园媒体，在里面做产品运营策划和媒体推广，做的事情大多和IP有关，但无奈没有理工科背景....LoR一封院长一封项目导师一封法院法官，后面补了一封交换学校的副教授，院长的推荐信里有提到放弃保研的事
维克森林大学,硕士,Law,录取,2015,3,103.0,,0,双非,法学,84.0,,,,二本院校毕业，本科期间一段欧洲交流经历，两段实习经历，一份律所，一份银行，但都不是大牛；比赛获奖若干，校级奖学金两次。无论文，无项目。毕业后两段工作经历，前一份和法律没太大关系。总之感觉自己的经历其实没有什么亮点。
代尔夫特理工大学,硕士,Real Estate,录取,2015,3,109.0,,325,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑学,88.6,,,,欧洲交换半年，其他没什么特别的，没论文没竞赛没科研什么都没有。。。有各类奖学金
麦克马斯特大学,博士,Chemical Engineering,录取,2014,0,,,320,双非,轻化工程,85.66,双非,轻化工程,89,两篇一作IF2.5+3.5；一篇一作在审IF3；两篇三作IF2
佐治亚理工学院,硕士,Economics and Econometrics,录取,2015,3,106.0,,324,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济学,84.0,,,,。
香港中文大学,硕士,Management of Real Estate and Hospitality Assets,录取,2017,2,,6.5,0,211 & 985,,85.18,,,,
西蒙弗雷泽大学,硕士,Economics and Econometrics,录取,2015,0,,,0,国外高校（含港澳台）,经济学，辅修数学,93.0,,,,没有什么纯粹的科研，就是在几门课程利做过一些paper和project。推荐信也都不是特别牛逼的人写的。都是很不错的教授，但是都比较年轻，影响力有限。大牛的课程基本没读过。。。。
明尼苏达大学双城分校,硕士,Other,录取,2013,0,,,0,国外高校（含港澳台）,会计,84.0,,,,
威斯敏斯特大学,硕士,"Theatre, Arts, and Media Management",录取,2015,0,,,0,211,中文,84.0,,,,省级媒体工作5年
渥太华大学,硕士,Chemical Engineering,录取,2016,3,,7.0,319,双非,应用化学,92.0,,,,
约翰霍普金斯大学,硕士,Environmental Engineering,录取,2016,3,106.0,,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,84.0,,,,
纽约州立大学布法罗分校,硕士,Art Management,录取,2017,2,90.0,,308,211,音乐学,84.0,,,,
阿姆斯特丹自由大学,硕士,International Business Law,录取,2016,2,98.0,,0,,金融法,81.0,,,,全程DIY。Vis Moot 以及其他共三次国际Moot参赛经历；内所、外企实习经历;过司考；两封推荐信来自本科教授以及外企legal manager。
香港城市大学,硕士,Accountancy,录取,2015,3,,7.0,0,双非,市场营销,87.5,,,,有实习和工作半年，大学有很多奖项。会计从业证，人力资源证，水论文一篇
香港理工大学,硕士,Actuarial and Investment Science,录取,2015,2,,6.5,0,211,金融学,84.0,,,,没有论文，Enactus全国三等奖，很水的实习两三个，社团任职和活动还行。
萨斯喀彻温大学,本科,Computer Science,录取,2015,3,,7.0,0,双非,英语,86.0,,,,"本科阶段校级奖学金二等奖三次，一等奖一次。

有一些网球，乒乓球比赛的奖... 

英语相关的竞赛有一些奖...

总之得的奖和申请的专业无关，应该没有什么用。"
弗吉尼亚理工,硕士,Architecture,录取,2015,3,100.0,,321,211 & 985,建筑学,84.0,,,,
埃默里大学,本科,Law,录取,2016,2,90.0,,0,211,法学,84.0,,,,top2律所实习一个月，某省高院实习两个多月，发表一篇省级文章，完成一个省级水课题。
密歇根大学安娜堡分校,硕士,Quantitative Finance and Risk Management,录取,2016,2,98.0,,324,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融,84.0,,,,
亚利桑那大学,硕士,Medicine & Pharm & Nutrition Science,录取,2013,0,,,331,双非,prevntion medicine,92.0,,,,
匹兹堡大学,硕士,Epidemiology,录取,2016,2,95.0,,321,清华/北大/中科大,,81.0,,,,
香港城市大学,硕士,Managerial Economics,录取,2014,0,,,0,双非,会计,91.0,国外高校（含港澳台）,Applied accounting & finance (AAF),,"BDO working experience 1 年；
paper 1 篇；
国家奖学金 2 个；
国家、省级、市级、校级学术竞赛奖项10余个 等"
威斯康星大学麦迪逊分校,硕士,Civil Engineering & Urban Planning & industrial design,录取,2013,0,,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,88.0,,,,
纽约州立大学布法罗分校,博士,Computer Science and Computer Engineering,录取,2013,3,102.0,,317,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,计算机科学,85.9,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,artificial intelligence,91.3,1 EI paper
爱丁堡大学,硕士,Public Policy,录取,2017,0,,,0,清华/北大/中科大,公共管理,84.0,,,,实习：美国健康相关NGO，500强外企CSR department，英国儿童相关INGO，每段时间都在6个月及以上。没啥科研，就做过大概一年交通部规划研究院科研助理。其它：一些简单的暑期田野调查和儿童健康相关志愿活动。台湾交换一学期，专业政治学。
范德堡大学,博士,Computer Science,录取,2016,3,105.0,,325,211,MIS,92.7,,,,
阿尔伯塔大学,博士,Electrical and Electronics Engineering,录取,2014,0,,,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,测控,85.0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,测控,88,研究生毕业后在国内某211大学课题组做研究员。普通推荐信。由于申请方向和原来的研究方向不同，所以论文也没什么用。3篇ieee trans，在审的若干，都是非申请方向的。
密歇根理工大学,博士,Mechanical Engineering,录取,2015,3,100.0,,322,,,87.0,,,,3个4th，IF还行
伊利诺伊大学厄巴纳-香槟分校,博士,Industrial Engineering,录取,2015,4,110.0,,320,211 & 985,电气工程,90.0,,,,本科直接申PhD。无Paper。国奖、社会奖学金若干，数模奖项和电设奖项若干。国内实验经历若干，Singapore某学校做过暑期Junior RA。英国某Top 5学校半年交换生经历。
香港大学,硕士,Industrial Engineering and Logistics Management,录取,2015,3,,7.0,0,211,机械工程,86.0,,,,两个相关实习，1个国外院校交流经历，校奖若干，水证书，无paper，无牛推
肯高迪亚大学,硕士,Logistics and Supply Chain Management,录取,2017,2,93.0,,0,211,物流管理,85.0,,,,一个海尔水实习，学校奖学金，一年台湾交换经验。
明尼苏达大学双城分校,硕士,Law,录取,2015,2,98.0,,0,211,法学,81.0,,,,绩点平平，托福成绩在申请之前一直都没办法刷到100以上。在法院实习过两次，在律所当全职律师助理一年，有过小小的创业史。没有其他比较突出的成绩了。收到的录取里面，scholarship给得最高的是UIUC，一开始给了我2万，后来过了两天又给我补了1万。wustl没奖，然后其他ad小奖的多多少少都是1万以上，在此不透漏了。
密歇根大学安娜堡分校,硕士,Architectural Design,录取,2015,3,100.0,,322,211,家具制造与设计,85.0,,,,
乔治城大学,硕士,Public Policy Analysis,录取,2017,4,111.0,,327,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,传播学,84.0,,,,拿过两次一等奖学金（非国奖），有半年澳洲交换经历（成绩6/7）。跟本学院老师做一个理政的项目。两份实习，一份在媒体，一份在ngo。三份推荐信分别是本院的课程老师，项目老师和ngo老板。因为专业设置的原因修过不少政治学方面的课。定量修过基本的统计，大三寒假上了上大和港科大合办的社科方法培训班。
