AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,Post_School,Post_Major,Post_GPA,Other_Info
香港城市大学,硕士,"Linguistics, Interpretation and Translation",录取,2014,0,,,0,双非,商务英语,88.0,,,,无牛推 无论文 专四 六级 三次国家奖学金 众多的活动比赛奖项 两个志愿者经历 1个寒假的培训机构教育实习
爱丁堡大学,硕士,Electrical and Electronics Engineering,录取,2016,2,,6.5,0,211 & 985,电气工程及其自动化,81.0,,,,奖学金四次，三个水水的专利
路易斯安那州立大学,硕士,Mechanical Engineering,录取,2015,2,90.0,,317,211,过程装备与控制,86.33,,,,"两篇SCI  一篇三作一篇五作 一篇中文一作在投，很久没消息，估计fail 一个专利一作 若干国家奖励，若干校级奖励

学校很普通 背景很一般，被拒了很多，情人节一个，大年三十一个 初一一个，元宵一个"
南加州大学,硕士,Public Policy Analysis,录取,2015,3,107.0,,326,211,,85.66,,,,本科和申请专业不是绝对相关，可能是被拒的一部分原因吧
香港城市大学,硕士,Electrical and Electronics Engineering,录取,2015,4,,7.5,0,双非,电磁场与无线技术,89.1,,,,一篇水论文三作，可忽略不计
路易斯安那州立大学,博士,Chemistry,录取,2015,1,89.0,,322,,material chemistry,82.0,211,physical chemistry',84,申请时无论文 无牛推
北卡罗来纳大学教堂山分校,博士,Computer Science,录取,2015,3,,7.0,320,211 & 985,计算机科学,89.0,,,,"两篇水论文。。还有一些水竞赛奖项。。奖学金就是国奖，一等什么的咯。。
信里说系里以后评奖。。我感觉是没有的。。。==|"
罗彻斯特大学,硕士,Bioengineering and Biomedical Engineering,录取,2017,3,108.0,,324,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,声学,88.0,,,,ncsu暑研，海外ap推荐信一封，一篇apl二作，一篇国际会议poster一作，一篇oral挂名。
康奈尔大学,硕士,Civil Engineering & Urban Planning & industrial design,录取,2013,0,,,335,国外高校（含港澳台）,土木工程,88.0,,,,
香港理工大学,硕士,Chinese Culture,录取,2016,0,,6.0,0,双非,汉语言文学,84.0,双非,,,
罗德岛设计学院,硕士,Architecture,录取,2015,2,102.0,6.5,326,211,建筑,84.0,清华/北大/中科大,,,
南卡罗来纳大学,博士,Biology and Biological Science,录取,2015,3,108.0,,318,双非,生物科学（师范类）,84.0,国外高校（含港澳台）,环境生物技术,92,一作土鳖国内期刊两篇，3作一篇正在投稿，5作一篇(7分），Acknowlegement带名字一篇8分
马萨诸塞大学安姆斯特分校,博士,Electrical and Electronics Engineering,录取,2015,2,90.0,,317,211,自动化,90.0,211 & 985,控制科学与工程,,无牛推，无Paper，5年相关工作经验，套磁较多，有多个面试
卡内基梅隆大学,硕士,Materials Science,录取,2014,3,106.0,,325,双非,,89.0,,,,台大实验室交换经历+一大推国内外交流经历，台湾+日本教授推荐信，3篇水文论（其中两篇排名很后），院学生会主席等。
卡尔加里大学,硕士,Mechanical Engineering,录取,2014,2,98.0,6.0,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,测控技术与仪器,84.0,,,,无牛推，无论文，套磁是王道！
香港浸会大学,硕士,Ethics,录取,2015,0,,6.0,0,双非,英语,81.9,,,,
圣路易斯华盛顿大学,硕士,Project Management,录取,2014,2,97.0,,309,双非,电气工程及其自动化/工程造价,85.0,,,,
阿尔伯塔大学,硕士,Educational Policy Studies,录取,2014,0,,,0,国外高校（含港澳台）,英文專業,84.0,,,,"我是港澳台高校啦……不是國外本科
我申请course-based,所以没有套磁
大三美國交換一學期
大二香港大学暑期交流
請了一個在美國交換時的教授寫推薦信 （寫得很好很具體..）
大三大四的時候，GPA有3.5+  （p.s 這學期大學畢業）"
纽约州立大学布法罗分校,博士,Chemical Engineering,录取,2015,3,101.0,,330,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化工,84.0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,88,SCI一区二三作各一篇。
莱顿大学,硕士,Computer Science,录取,2016,3,,7.0,0,清华/北大/中科大,,84.0,,,,"不相干实习两个
水会议一篇"
香港理工大学,硕士,Other,录取,2013,0,,,0,双非,化学,75.0,,,,2年工作经验
德克萨斯大学阿灵顿分校,博士,Computer Science,录取,2016,2,91.0,,0,211 & 985,,87.78,,,,项目有两个水的，竞赛基本没参加过。一、二、三等奖学金和国家奖学金都拿过的。小本哦，没读研。
德克萨斯大学达拉斯分校,硕士,Industrial Engineering,录取,2016,4,113.0,,316,,化学工程,81.0,,,,"在美国实习了两个夏天＋coop一个学期
在学校做过research 无paper"
香港城市大学,硕士,Asian and International Studies,录取,2016,4,,7.5,0,双非,德语,81.0,,,,德国交换一年，无牛推无发表，几次模联经历，几个水实习。
密歇根理工大学,博士,Mechanical Engineering,录取,2015,3,100.0,,322,,,87.0,,,,3个4th，IF还行
威斯康星大学,硕士,Curriculum,录取,2015,3,104.0,,330,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济类,84.0,,无,,无实习，无交流
香港浸会大学,硕士,Translation and Bilingual Communication,录取,2014,0,,,0,双非,英语,88.6,,,,无论文无牛推，一个国奖，三次校甲等奖学金，两次省翻译大赛口译一等奖，一堆辩论赛奖项，培训机构兼职老师实习。
香港中文大学,硕士,Accountancy,录取,2016,3,,7.0,0,211 & 985,金融,89.0,,,,
伦敦大学学院,硕士,English Language Studies,录取,2015,4,,7.5,0,双非,英语,87.2,,,,
卡尔加里大学,硕士,Mathematics,录取,2015,4,,7.5,0,211,数学与经济学双学位,87.0,,,,"MCM H奖 + 国赛省一 + 两个实习 + 水科研三个 + 无paper
211财经大学，数学类课程在89左右，金融经济类课程在90左右
Funding：$23,266.94 per year"
香港城市大学,硕士,Integrated Marketing Communications,录取,2016,3,,7.0,0,211 & 985,国际政治,90.0,,,,"辅修：公共关系
项目：大学生创新训练项目国家级立项；校级调研2个
实习：报社实习；国际4A广告公司，PR Intern
交换：韩国，一个学期
奖学金：单项奖学金（学术型）"
香港中文大学,硕士,Intercultural Studies,录取,2016,2,,6.5,0,双非,,85.28,,,,
罗彻斯特大学,硕士,Electrical and Electronics Engineering,录取,2015,2,98.0,,321,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,光电子材料与器件,84.0,,,,
欧盟奖学金项目,硕士,Tropical Biodiversity and Ecosystems,录取,2016,2,,6.5,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物学,85.13,,,,没文章没牛推 大二开始实习 小奖几个没啥用 基本是啥都没有……
香港理工大学,硕士,Electrical Engineering Technician,录取,2014,0,,,0,双非,电气,84.0,,,,"无论文，正常申请，本科排名一般，百分之10,简直就是水"
香港城市大学,硕士,Chinese,录取,2015,3,,7.0,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,汉语言文学,86.0,,,,无论文，推荐人是副院长和某教研室主任，省级电视台和省级报社实习，几个文化相关的社会实践，学生会部长，奖学金和一些校级小奖
林肯大学,硕士,Interior Architecture,录取,2017,2,,6.5,0,211,建筑学,84.0,,,,
欧洲创新与技术研究院,硕士,Digital Media Technology,录取,2015,3,,7.0,0,211 & 985,电子信息工程,86.4,,,,无牛推，水科研，无论文，其他乱七八糟的奖项估计也没啥大用(或许EIT会感兴趣。。)
欧洲创新与技术研究院,硕士,Digital Media Tenchnology,录取,2016,2,,6.5,0,211 & 985,通信工程,85.51,,,,一个半年相关工作经历，一个三个月在中国移动的实习。
香港大学,博士,Economics,录取,2016,3,102.0,,323,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,人文类,87.5,清华/北大/中科大,人文专业,85.4,学校背景还不错，其他真的很蹩脚。
佐治亚大学,博士,Mechanical Engineering,录取,2015,2,90.0,,321,211 & 985,工程力学,84.0,211 & 985,计算力学,90,有学院的老师推荐给他相熟的同学
英属哥伦比亚大学,本科,Computer Science,录取,2016,3,,7.0,0,211,电子信息工程,94.0,,,,专利一个，校级国家级奖学金若干，无科研
范德堡大学,硕士,General Law,录取,2017,3,100.0,,0,双非,民商法,84.0,,,,"帝都小公务员一枚,司法局工作两年，在家人鼓励下辞职准备读研，我有一个帅气的老妈^^"
香港大学,硕士,Curriculum,录取,2016,4,,7.5,0,,英语专业,87.72,,,,奖学金两次，无牛推，无论文，无科研
香港城市大学,硕士,Integrated Marketing Communications,录取,2015,2,,6.5,0,211 & 985,哲学,81.0,,,,
西北大学,硕士,Environmental Engineering,录取,2016,3,106.0,,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,84.0,,,,
北卡罗来纳大学教堂山分校,硕士,Mental Health Counseling,录取,2016,2,97.0,,0,211 & 985,工商管理类,81.0,,,,
香港理工大学,硕士,Translating and Interpreting,录取,2016,4,,7.5,0,双非,英语师范,89.0,,,,
纽约大学,硕士,Public Relations and Cooperate Communication,录取,2016,3,101.0,,325,211,英语,88.0,,,,
谢菲尔德大学,硕士,Finance,录取,2015,0,,,0,双非,金融,85.0,,,,
南加州大学,硕士,Landscape Architecture,录取,2017,0,,,0,211 & 985,风景园林,88.0,,,,
佐治亚大学,硕士,Biostatistics,录取,2017,3,,7.0,321,211,生物工程,84.0,,,,
哥伦比亚大学,硕士,Public Administration,录取,2017,3,107.0,7.0,314,双非,Spanish,88.0,,,,
苏黎世联邦理工学院,硕士,Computational Biology,录取,2016,3,,7.0,318,,生物医学工程,90.59,,,,
布朗大学,博士,Chemistry,录取,2017,3,101.0,,322,,物化,84.0,,,,
新加坡国立大学,博士,Computer Science,录取,2015,2,,6.5,0,211 & 985,软件工程,93.0,,,,若干国奖，国家级奖学金。去NUS学习过40多天，和教授成为了好朋友
香港科技大学,硕士,Intelligent Building Technology and Management,录取,2017,2,,6.5,0,,机械设计制造及其自动化,84.5,,,,每年都有奖学金，没有科研，一份实习
香港中文大学,硕士,Journalism,录取,2014,0,,,0,双非,,90.0,,,,"推荐：实习老师推荐+论文导师推荐
实习：两个国内媒体（网媒/电视）+校记者团
其他：语言类比赛奖项若干，志愿活动若干
寄送材料附加了作品集"
圣加仑大学,硕士,Economics,录取,2016,3,,7.0,319,,应用经济学,81.0,,Mathematics,81,
弗吉尼亚理工,硕士,Architecture,录取,2015,3,103.0,,320,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑,84.32,,,,
香港城市大学,硕士,Marketing,录取,2015,3,,7.0,0,双非,市场营销,84.0,,,,
密歇根州立大学,博士,Chemistry,录取,2017,3,,7.0,319,211 & 985,化学,92.0,,,,无论文  三段实验室经历 国奖校奖若干 美国交流一年 GPA4.0 三封外导推荐信  美加混申均未套瓷
伊利诺伊大学厄巴纳-香槟分校,硕士,Policy Economics,录取,2016,4,,7.5,320,,应用经济学,84.0,,,,"美国暑期实习一份
全奖入学"
纽约市立大学巴鲁克学院,硕士,Public Administration,录取,2015,0,,,309,国外高校（含港澳台）,psychology,81.0,,,,因为本科在美国毕业的，没有考T。在美国一个non-profit全职工作过1年多，加上暑假实习3个月，还有各类fellowships的经验。因为工作签证被拒的关系申请了MPA，当时准备匆忙加上搬家，G只准备了2个月左右，是硬伤，所以申请的学校比较广。老板的推荐信比较牛，但是不太方便透露他的职位。
香港中文大学,硕士,New Media,录取,2016,3,,7.0,0,211,广播电视新闻,88.0,,,,两段传媒实习，一段是纸媒，一段是在新媒体部门，还有一段公益传播的经历。三年都有学校的奖学金，拿过一个广告比赛的奖，几段志愿者经历。台湾交换生。没有论文。
范德堡大学,硕士,International Education Policy and Management,录取,2015,3,106.0,,320,双非,对外汉语,88.0,,,,
博科尼大学,硕士,Economics and Econometrics,录取,2015,2,96.0,,317,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济,87.0,,,,硬件各种渣，其他背景定位贴里有，不会删的。
东英吉利大学,硕士,Film Television and Creative Pratice,录取,2015,2,,6.5,0,211 & 985,广播电视新闻学,88.0,,,,省级电视台实习；影视作品和文字作品较多，获奖多（1个国际奖，多个国家奖）；学校奖学金每学期都有拿。
伦敦大学亚非学院,硕士,International Politics,录取,2017,3,108.0,,0,211 & 985,外国语文学,88.0,,,,拿到过小奖，西班牙交换过，跨专业申请因而没什么学术成果，有一定的基础知识。
香港科技大学,硕士,Engineering Enterprise Management,录取,2016,2,,6.5,0,211,油气储运工程,85.0,,,,
罗格斯大学,博士,Mechanical Engineering,录取,2015,2,90.0,,317,211,过程装备与控制,86.33,,,,"两篇SCI  一篇三作一篇五作 一篇中文一作在投，很久没消息，估计fail 一个专利一作 若干国家奖励，若干校级奖励

学校很普通 背景很一般，被拒了很多，情人节一个，大年三十一个 初一一个，元宵一个"
香港理工大学,硕士,Software Technology,录取,2015,2,97.0,,0,211,电气工程,81.0,,,,奖学金若干，水项目若干，相关工作经验一年，无牛推
香港大学,硕士,Computer Science,录取,2014,2,,6.5,0,双非,通信工程,81.0,,,,211 三个水实习 无论文无牛推
密苏里大学,博士,Mechanical Engineering,录取,2015,2,97.0,6.5,320,211 & 985,车辆和电气双学位,87.0,211 & 985,车辆,87,无牛推，有论文有项目
波恩大学,硕士,Mathematics,录取,2017,2,92.0,,322,211 & 985,数学,86.7,,,,
香港城市大学,硕士,Economics,录取,2013,2,95.0,,0,双非,贸易经济,84.0,,,,工作经验一年，水实习一个 奥运会志愿者算不算 奖学金若干，没有任何论文背景
芝加哥大学,硕士,Social Science,录取,2017,3,105.0,,324,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,major in 经济学 minor in 数学与应用数学,89.0,,,,三封推荐信，全强推，无牛推。班导兼中微老师，强调了学术学习能力、学术潜力、组织与合作能力和明确的学术职业规划；科研导师，强调了学术搜索、整理和英文写作能力、强烈的学术兴趣、交叉学科学习背景；计算数学系授课老师，强调了数学基础、计算机编程能力、持续学习数学和计算机课程的motivation和规划。
明尼苏达大学双城分校,硕士,Biostatistics,录取,2017,3,101.0,,323,211 & 985,基础医学,84.0,,,,无论文，一个省级奖，接近三年医学科研经历，现在在做一个跟数据和机器学习相关的毕设。
伊利诺伊大学厄巴纳-香槟分校,硕士,Law,录取,2015,1,82.0,,0,双非,法学,85.0,,,,已经毕业一年了 内所工作一年 学校课外活动比较多 在校期间三年二等奖 还有法院实习 GPA没刷 托福也比较弱。。。。
哥伦比亚大学,硕士,American Studies,录取,2015,4,115.0,,330,211 & 985,英语语言文学,88.0,,,,"主申请方向：Literature in English（英美文学），Cultural Studies（文化研究）和Educational Linguistics（教育语言学）兴趣比较多元，基本申了本科专业的四个发展方向中的三个（翻译还是算了）推荐信方面，我有一封伯克利的推荐，教授是伯克利英语系的大牛（伯克利英语系都多少年第一了。。。）专门研究William Blake。还有一封是在宾大UCLA和伯克利都担任过语言学教授的一名老教授。自己的国外经历比较多，去牛津和哈佛参加过模联，去伯克利全奖交换了一年。在学校里面担任了社团社长和一个项目负责人（针对的是少数民族和贫困生），参与过很多的课外教学工作，大三暑假在外研社担任英语数字教育产品编辑，大四上学期在新浪新闻中心国际新闻部担任国际新闻编辑。托福GRE自然是越高越好，但是我觉得最重要的还是GPA, 哦对了，Writing Samplw就是交了比较长的课程论文"
匹兹堡大学,硕士,Public Administration,录取,2017,4,110.0,,321,211,小语种,85.25,,,,
塔夫茨大学,硕士,Materials Science,录取,2017,2,92.0,,319,211 & 985,,85.44,,,,
哈佛大学,硕士,Landscape Architecture,录取,2017,3,101.0,,312,国外高校（含港澳台）,Landscape Architecture,88.0,,,,
香港理工大学,硕士,Information Science,录取,2013,0,,6.0,0,双非,软件工程,81.0,,,,
埃默里大学,硕士,Law,录取,2015,3,107.0,,0,,法学,90.0,,,,LSAC评级AA（某理工大学），两年国奖，台湾交换一学期评级S，UCLA summer session；2014年过司考（卷三88...）A证，实习一个是基层法院，一个是某外企法务；校级科研项目两个，发表水论文一篇，辩论赛模拟法庭志愿者法援普法等....LoR里有提到放弃保研的事
基尔大学,硕士,Materials Engineering,录取,2014,0,,,0,双非,冶金工程,86.0,,,,无工作经验，无论文。
麦吉尔大学,博士,Economics and Econometrics,录取,2015,4,,7.5,329,211,,84.0,,Economics,,
香港城市大学,硕士,Multimedia Information Technology,录取,2015,2,,6.5,0,双非,信息管理与信息系统,81.0,,,,1月15号申请的，有几个项目经验，IT相关的课程分数都挺高的，就是各种马克思之类的文科课程把均分拉低了，还挂了财务管理，申请那时重修成绩还没出，成绩单上还是显示不及格，2月初重修成绩出来后又上传了一份，实习经历太水没写（在联想售后修电脑(*'▽')），其实应该写上会比较好，Professional Qualification有一个JLPT N2（目测没用，为了不让这part空着还是写上了），申请的时候感觉挺虚的，后来又在朋友圈看到一篇《国内难考，留学遭歧视的大学排行榜》，我的学校榜上有名，已经打算去找工作了，结果收到了offer（微信文什么的果然不靠谱啊）。唠叨了好多，好像没什么条理啊……大家将就着看吧
罗彻斯特大学,硕士,Teaching English to Speakers of Other Languages,录取,2016,4,,7.5,325,双非,翻译,85.48,,,,
南加州大学,硕士,Journalism,录取,2015,4,110.0,,320,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,中文,81.0,,,,"实习 SMG, CNBC Asia
三篇writing samples
一份photo portfolio 
无牛推。"
东英吉利大学,硕士,Film Studies,录取,2016,0,,,0,211,广告学,87.0,,,,
香港浸会大学,硕士,Art / Fine Arts,录取,2013,0,,,0,双非,对外汉语,87.0,,,,无牛推无论文，一个三好，校奖学金而且还是二等。
香港科技大学,硕士,Economics,录取,2016,3,,7.0,0,双非,金融学,89.0,,,,"银行工作一年半，本科非211但成绩好，一直拿奖学金，各种银行实习，学生会干部，想等前三，马上要交留位费了好纠结,赶在元旦放假之前发了有一个offer，现在纠结去哪个专业，我连gmat都没提交，就用雅思就申请到了，估计跟我工作经验有关吧"
圣安德鲁斯大学,硕士,Public Policy and Globe Health,录取,2015,2,,6.5,0,双非,公共事业管理,89.2,,,,"一年工作经验  国家奖学金 挑战杯省二等奖 学生会主席 3篇论文 支教两个月领队 
各种校级奖学金 各种活动奖"
爱丁堡大学,硕士,Economics,录取,2015,3,,7.0,0,双非,经济学,88.0,,,,
香港理工大学,硕士,International Shipping and Logistic Transportation,录取,2015,3,,7.0,0,211 & 985,物流管理,84.0,,,,毕业后一直做采购相关工作。
CEMFI,硕士,Economics and Econometrics,录取,2015,0,,,0,,经济学,88.0,,,,
范德堡大学,硕士,Economic Development,录取,2017,3,105.0,,0,双非,国际经济与贸易,84.0,,,,
加州大学圣塔芭芭拉分校,硕士,Environmental Management,录取,2015,3,102.0,,323,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,86.0,,,,"澳大利亚monash uni交换一学期，有NGO,政府还有环保企业实习，较多环保志愿经历，sci二区杂志二作一篇。"
埃默里大学,硕士,Law,录取,2017,4,115.0,,0,211,法学,85.0,,,,1.论文两篇；2.jessup一次但是没有奖；3.省级项目2个，校级一个；4.学校奖学金；5.法律援助中心实习；6.推荐信一封本学院副院长、一封副教授、一封律所高级合伙人。
悉尼科技大学,博士,Computer Science,录取,2017,2,,6.5,0,211 & 985,航空与航天工程,84.0,211,Control Science & Engineering,82,
南洋理工大学,硕士,International Political Economy,录取,2016,3,,7.0,0,211,会计学,89.3,,,,
香港城市大学,硕士,Integrated Marketing Communications,录取,2016,2,,6.5,0,双非,广告学,84.46,,,,
